date,county,confirmed_hosp,suspected_hosp,total_hosp,population,total_doses,cumulative_fully_vaccinated,pct_fully_vaccinated
2020-03-30,San Diego,146,446,592,3296045,NA,NA,NA
2020-03-30,San Francisco,58,92,150,870393,NA,NA,NA
2020-03-30,San Joaquin,28,30,58,780558,NA,NA,NA
2020-03-30,San Luis Obispo,5,11,16,281879,NA,NA,NA
2020-03-30,San Mateo,56,40,96,762511,NA,NA,NA
2020-03-30,Santa Barbara,19,25,44,448244,NA,NA,NA
2020-03-30,Santa Clara,153,93,246,1931026,NA,NA,NA
2020-03-30,Santa Cruz,0,2,2,270462,NA,NA,NA
2020-03-30,Shasta,1,4,5,181984,NA,NA,NA
2020-03-30,Siskiyou,0,0,0,43991,NA,NA,NA
2020-03-30,Solano,15,16,31,452698,NA,NA,NA
2020-03-30,Sonoma,7,22,29,488281,NA,NA,NA
2020-03-30,Stanislaus,17,51,68,553217,NA,NA,NA
2020-03-30,Sutter,0,0,0,99464,NA,NA,NA
2020-03-30,Tehama,0,2,2,65682,NA,NA,NA
2020-03-30,Trinity,0,0,0,16089,NA,NA,NA
2020-03-30,Tulare,5,21,26,473891,NA,NA,NA
2020-03-30,Tuolumne,1,2,3,55374,NA,NA,NA
2020-03-30,Ventura,25,82,107,843310,NA,NA,NA
2020-03-30,Yolo,2,2,4,216291,NA,NA,NA
2020-03-30,Yuba,3,17,20,81994,NA,NA,NA
2020-03-31,Alameda,56,94,150,1680380,NA,NA,NA
2020-03-31,Amador,0,0,0,40532,NA,NA,NA
2020-03-31,Butte,4,20,24,210135,NA,NA,NA
2020-03-31,Calaveras,0,1,1,45346,NA,NA,NA
2020-03-31,Colusa,0,1,1,21858,NA,NA,NA
2020-03-31,Contra Costa,27,54,81,1165986,NA,NA,NA
2020-03-31,Del Norte,0,4,4,27601,NA,NA,NA
2020-03-31,El Dorado,10,9,19,191220,NA,NA,NA
2020-03-31,Fresno,30,274,304,1009503,NA,NA,NA
2020-03-31,Glenn,0,0,0,28896,NA,NA,NA
2020-03-31,Humboldt,1,11,12,136261,NA,NA,NA
2020-03-31,Imperial,12,100,112,179595,NA,NA,NA
2020-03-31,Inyo,NA,83,NA,19001,NA,NA,NA
2020-03-31,Kern,14,63,77,905828,NA,NA,NA
2020-03-31,Kings,1,3,4,152790,NA,NA,NA
2020-03-31,Lake,0,4,4,68195,NA,NA,NA
2020-03-31,Lassen,0,7,7,32317,NA,NA,NA
2020-03-31,Los Angeles,713,1239,1952,9992236,NA,NA,NA
2020-03-31,Madera,1,3,4,156343,NA,NA,NA
2020-03-31,Marin,9,14,23,261282,NA,NA,NA
2020-03-31,Mendocino,0,1,1,91361,NA,NA,NA
2020-03-31,Merced,3,11,14,281814,NA,NA,NA
2020-03-31,Modoc,0,19,19,8663,NA,NA,NA
2020-03-31,Mono,0,1,1,13226,NA,NA,NA
2020-03-31,Monterey,11,15,26,438390,NA,NA,NA
2020-03-31,Napa,1,5,6,137485,NA,NA,NA
2020-03-31,Nevada,36,40,76,102249,NA,NA,NA
2020-03-31,Orange,105,233,338,3185516,NA,NA,NA
2020-03-31,Placer,18,27,45,405889,NA,NA,NA
2020-03-31,Plumas,0,0,0,19749,NA,NA,NA
2020-03-31,Riverside,80,155,235,2422847,NA,NA,NA
2020-03-31,Sacramento,53,110,163,1586465,NA,NA,NA
2020-03-31,San Benito,1,0,1,64521,NA,NA,NA
2020-03-31,San Bernardino,82,231,313,2183239,NA,NA,NA
2020-03-31,San Diego,158,408,566,3296045,NA,NA,NA
2020-03-31,San Francisco,67,69,136,870393,NA,NA,NA
2020-03-31,San Joaquin,44,54,98,780558,NA,NA,NA
2020-03-31,San Luis Obispo,7,15,22,281879,NA,NA,NA
2020-03-31,San Mateo,60,23,83,762511,NA,NA,NA
2020-03-31,Santa Barbara,19,29,48,448244,NA,NA,NA
2020-03-31,Santa Clara,155,98,253,1931026,NA,NA,NA
2020-03-31,Santa Cruz,1,10,11,270462,NA,NA,NA
2020-03-31,Shasta,1,5,6,181984,NA,NA,NA
2020-03-31,Siskiyou,0,0,0,43991,NA,NA,NA
2020-03-31,Solano,15,15,30,452698,NA,NA,NA
2020-03-31,Sonoma,8,18,26,488281,NA,NA,NA
2020-03-31,Stanislaus,20,31,51,553217,NA,NA,NA
2020-03-31,Sutter,0,0,0,99464,NA,NA,NA
2020-03-31,Tehama,0,2,2,65682,NA,NA,NA
2020-03-31,Trinity,0,0,0,16089,NA,NA,NA
2020-03-31,Tulare,6,14,20,473891,NA,NA,NA
2020-03-31,Tuolumne,0,37,37,55374,NA,NA,NA
2020-03-31,Ventura,21,90,111,843310,NA,NA,NA
2020-03-31,Yolo,3,2,5,216291,NA,NA,NA
2020-03-31,Yuba,2,21,23,81994,NA,NA,NA
2020-04-01,Alameda,52,76,128,1680380,NA,NA,NA
2020-04-01,Amador,0,3,3,40532,NA,NA,NA
2020-04-01,Butte,5,33,38,210135,NA,NA,NA
2020-04-01,Calaveras,0,1,1,45346,NA,NA,NA
2020-04-01,Colusa,0,1,1,21858,NA,NA,NA
2020-04-01,Contra Costa,31,42,73,1165986,NA,NA,NA
2020-04-01,Del Norte,0,5,5,27601,NA,NA,NA
2020-04-01,El Dorado,14,8,22,191220,NA,NA,NA
2020-04-01,Fresno,19,101,120,1009503,NA,NA,NA
2020-04-01,Glenn,NA,NA,NA,28896,NA,NA,NA
2020-04-01,Humboldt,1,9,10,136261,NA,NA,NA
2020-04-01,Imperial,4,15,19,179595,NA,NA,NA
2020-04-01,Inyo,7,89,96,19001,NA,NA,NA
2020-04-01,Kern,15,45,60,905828,NA,NA,NA
2020-04-01,Kings,2,6,8,152790,NA,NA,NA
2020-04-01,Lake,0,2,2,68195,NA,NA,NA
2020-04-01,Lassen,0,7,7,32317,NA,NA,NA
2020-04-01,Los Angeles,739,1332,2071,9992236,NA,NA,NA
2020-04-01,Madera,1,3,4,156343,NA,NA,NA
2020-04-01,Marin,9,19,28,261282,NA,NA,NA
2020-04-01,Mariposa,0,0,0,17118,NA,NA,NA
2020-04-01,Mendocino,0,2,2,91361,NA,NA,NA
2020-04-01,Merced,3,15,18,281814,NA,NA,NA
2020-04-01,Modoc,0,1,1,8663,NA,NA,NA
2020-04-01,Mono,0,0,0,13226,NA,NA,NA
2020-04-01,Monterey,13,16,29,438390,NA,NA,NA
2020-04-01,Napa,2,2,4,137485,NA,NA,NA
2020-04-01,Nevada,36,54,90,102249,NA,NA,NA
2020-04-01,Orange,117,221,338,3185516,NA,NA,NA
2020-04-01,Placer,25,28,53,405889,NA,NA,NA
2020-04-01,Plumas,0,0,0,19749,NA,NA,NA
